26          -105.09059497   33.04752230  0.000000E+00 -2.107979259406E+01 -2.107979259406E+01 -2.143089596861E+01  3.011105848660E+01  3.010263275249E+01  3.661728401365E+01  3.658403020834E+01 -1.596527511105E+02  9.819866571023E+05  6.256049964104E+07  9.796001061735E+05  6.263664522325E+07  1.613683263442E+03  1.635114159410E+03  9.795699951150E+05  9.795699951150E+05  1.199462844866E+01  1.198598953549E+01  4.551498572609E-01
27          -105.09052654   33.04752546  0.000000E+00 -2.108016479346E+01 -2.108016479346E+01 -2.143121731241E+01  3.009833666781E+01  3.008990373680E+01  3.660467707256E+01  3.657141563551E+01 -1.596511532269E+02  9.819866444672E+05  6.256049964283E+07  9.796000937127E+05  6.263664521960E+07  1.613557653174E+03  1.634988870487E+03  9.795699953760E+05  9.795699953761E+05  1.199512029250E+01  1.198646270704E+01  4.556388646840E-01
28          -105.09045811   33.04752862  0.000000E+00 -2.108053700833E+01 -2.108053700833E+01 -2.143153867350E+01  3.008561463584E+01  3.007717450895E+01  3.659206992239E+01  3.655880085527E+01 -1.596495550311E+02  9.819866318319E+05  6.256049964462E+07  9.796000812517E+05  6.263664521595E+07  1.613432024206E+03  1.634863562880E+03  9.795699956370E+05  9.795699956371E+05  1.199561093486E+01  1.198693529264E+01  4.561277908449E-01
29          -105.09038967   33.04753179  0.000000E+00 -2.108090929537E+01 -2.108090929537E+01 -2.143186010026E+01  3.007289021753E+01  3.006444289357E+01  3.657946040807E+01  3.654618370971E+01 -1.596479563559E+02  9.819866191944E+05  6.256049964643E+07  9.796000687891E+05  6.263664521231E+07  1.613306366804E+03  1.634738226905E+03  9.795699958989E+05  9.795699958989E+05  1.199610116342E+01  1.198740743899E+01  4.566167881541E-01
30          -105.09032124   33.04753495  0.000000E+00 -2.108128154112E+01 -2.108128154112E+01 -2.143218149590E+01  3.006016775995E+01  3.005171324354E+01  3.656685284259E+01  3.653356851678E+01 -1.596463575358E+02  9.819866065587E+05  6.256049964822E+07  9.796000563277E+05  6.263664520866E+07  1.613180700405E+03  1.634612881901E+03  9.795699961599E+05  9.795699961599E+05  1.199658940327E+01  1.198787885263E+01  4.571055517011E-01
31          -105.09025281   33.04753811  0.000000E+00 -2.108165380229E+01 -2.108165380229E+01 -2.143250290877E+01  3.004744509170E+01  3.003898338359E+01  3.655424507070E+01  3.652095311868E+01 -1.596447584035E+02  9.819865939227E+05  6.256049965002E+07  9.796000438660E+05  6.263664520501E+07  1.613055015305E+03  1.634487518214E+03  9.795699964209E+05  9.795699964209E+05  1.199707998556E+01  1.198834968035E+01  4.575942339245E-01
32          -105.09018438   33.04754128  0.000000E+00 -2.108202608129E+01 -2.108202608129E+01 -2.143282434039E+01  3.003472188272E+01  3.002625298300E+01  3.654163676376E+01  3.650833718543E+01 -1.596431590285E+02  9.819865812865E+05  6.256049965183E+07  9.796000314046E+05  6.263664520137E+07  1.612929320464E+03  1.634362144804E+03  9.795699966827E+05  9.795699966828E+05  1.199756857928E+01  1.198882000363E+01  4.580829196763E-01
33          -105.09011595   33.04754444  0.000000E+00 -2.108239837322E+01 -2.108239837322E+01 -2.143314578771E+01  3.002199879418E+01  3.001352270538E+01  3.652902858153E+01  3.649572137912E+01 -1.596415592716E+02  9.819865686501E+05  6.256049965362E+07  9.796000189426E+05  6.263664519772E+07  1.612803597934E+03  1.634236743722E+03  9.795699969438E+05  9.795699969438E+05  1.199805675941E+01  1.198928965951E+01  4.585714391747E-01
34          -105.09004752   33.04754760  0.000000E+00 -2.108277068051E+01 -2.108277068051E+01 -2.143346725223E+01  3.000927549657E+01  3.000079222009E+01  3.651642019342E+01  3.648310536986E+01 -1.596399592025E+02  9.819865560135E+05  6.256049965541E+07  9.796000064803E+05  6.263664519407E+07  1.612677856704E+03  1.634111323956E+03  9.795699972048E+05  9.795699972048E+05  1.199854413235E+01  1.198975872950E+01  4.590598772886E-01
35          -105.08997909   33.04755076  0.000000E+00 -2.108314300314E+01 -2.108314300314E+01 -2.143378873394E+01  2.999655199094E+01  2.998806152788E+01  3.650381160423E+01  3.647048915840E+01 -1.596383588210E+02  9.819865433767E+05  6.256049965720E+07  9.795999940178E+05  6.263664519043E+07  1.612552096774E+03  1.633985885508E+03  9.795699974658E+05  9.795699974658E+05  1.199903030453E+01  1.199022721359E+01  4.595482339970E-01
