# Created by Octave 7.3.0, Sun Nov 13 20:20:21 2022 GMT <unknown@LAPTOP-PSMR0IUC>
# name: A
# type: matrix
# rows: 21346
# columns: 2
 32.504566840000003 -105.10532766999999
 32.504506790000001 -105.10657548
 32.504446259999995 -105.10782309000001
 32.504385399999997 -105.10907048
 32.504324390000001 -105.11031767
 32.504263359999996 -105.11156469000002
 32.50420235 -105.11281156
 32.504141489999995 -105.11405828000001
 32.504080849999994 -105.11530479
 32.504020310000001 -105.11655100999999
 32.503959740000006 -105.1177969
 32.50389895 -105.11904238
 32.503838090000002 -105.12028746999999
 32.503777169999999 -105.12153211999998
 32.503716310000009 -105.12277634999997
 32.503655610000003 -105.12402016
 32.503594920000005 -105.12526362000001
 32.503534190000003 -105.12650674999999
 32.50347335 -105.12774954999999
 32.503412490000002 -105.12899205999999
 32.503351880000004 -105.13023430999999
 32.503291169999997 -105.13147632999998
 32.503230880000004 -105.13271813999998
 32.503170380000007 -105.13395971
 32.503110010000007 -105.13520112999998
 32.503049709999999 -105.13644244999999
 32.502989540000002 -105.13768372000001
 32.502929380000005 -105.13892492000001
 32.502869359999998 -105.14016613
 32.502809599999999 -105.14140744000001
 32.502750210000009 -105.14264892999999
 32.502691179999999 -105.14389058
 32.502632330000012 -105.14513233999999
 32.502573480000002 -105.14637418
 32.502514510000005 -105.14761604000002
 32.502455500000003 -105.14885794999999
 32.502396440000005 -105.15009988
 32.502337380000007 -105.15134180999998
 32.502278320000009 -105.15258372
 32.502219230000009 -105.15382562000001
 32.502160310000008 -105.15506752999998
 32.502101580000001 -105.15630944999999
 32.502043180000001 -105.15755136999999
 32.501984709999995 -105.15879322999999
 32.501926259999998 -105.16003508999999
 32.501867729999994 -105.16127692000001
 32.501808859999997 -105.16251869999999
 32.501749830000001 -105.16376046000001
 32.501690749999995 -105.16500221999999
 32.501631959999997 -105.16624404000001
 32.5015736 -105.16748595
 32.501515610000006 -105.16872794
 32.501458120000002 -105.16996999999999
 32.50140146999999 -105.17121211999999
 32.501345840000006 -105.17245428999999
 32.501291119999998 -105.17369649999999
 32.501237189999998 -105.17493873999999
