lon,lat,FAA,SMW,TC,Faye,Disturbing_potential,Undulation,Cogeoid,Geoid
-106,32.73,-23.89271893570549,-30.03147894452559,-15.3169876280155,-14.71449131651008,3637676.44749898,3.713643354055784,-17.22556817035222,-17.38322524188473
-106,32.74,-23.61671091846074,-30.14682497111062,-6.768994551103786,-23.37783042000683,3629847.422616275,3.705647723503065,-17.24925991717894,-17.37399419959521
-106,32.75,-23.47326604396949,-30.40618567866477,-13.85976092538511,-16.54642475327966,3621452.104053483,3.69707398704524,-17.27394886615776,-17.5077459395476
-106,32.76,-23.41597566339624,-30.76121566945221,-16.8629388073179,-13.89827686213431,3611787.88269484,3.687204865992639,-17.30034994267636,-17.37948927551559
-106,32.77,-23.43066657016607,-31.19707164136344,-23.51569183498631,-7.68137980637713,3600879.498351144,3.676065619987829,-17.32843485403617,-17.55399307304081
-106,32.78,-23.49809211157117,-31.69428689846245,-14.71339340523987,-16.98089349322258,3589263.289324973,3.664203788784934,-17.35765235671807,-17.34861578237414
-106,32.79,-23.59217658622947,-32.22695073337673,-3.982926802429533,-28.24402393094719,3577209.615640465,3.651895378868924,-17.38772207987908,-17.40098625970722
-106,32.8,-23.67996291343297,-32.76274477748666,-1.105265880968271,-31.65747889651839,3564337.257178689,3.63875121238124,-17.41902818761176,-17.45115975211265
-106,32.81,-23.72039891275926,-33.26206038644159,-0.2368065052097996,-33.02525388123179,3550269.502470477,3.624386715545944,-17.45194960272806,-17.44137049498616
-106,32.82,-23.63758155623509,-33.65326060190273,-0.2085279675750411,-33.44473263432769,3534515.988861699,3.608301292153332,-17.48698064650766,-17.56448801007928
-106,32.83,-23.32488876170828,-33.84212186733203,-0.3752072000193423,-33.46691466731269,3517322.998039586,3.59074636931292,-17.52386300716208,-17.65062771149505
-106,32.84,-22.87651307288615,-33.90724980888626,-0.4783313123982199,-33.42891849648804,3499342.746703826,3.572387781761834,-17.56192337070717,-17.87270063181767
-106,32.85,-22.35012488970096,-33.90181440635934,-0.7285117512146559,-33.17330265514468,3481714.315293302,3.55438838808067,-17.59999082087033,-17.63269316219902
-106,32.86,-21.77229739214818,-33.8498558262072,-1.84263820115126,-32.00721762505594,3464647.574454731,3.536962438482929,-17.63784248832508,-17.86652926425577
-106,32.87,-21.16462367823988,-33.77109379945614,-1.522223175628731,-32.24887062382741,3448415.485067111,3.520388589472164,-17.67519055395184,-17.97221577739816
-106,32.88,-20.54461596157489,-33.68154079864325,-3.901278141001093,-29.78026265764216,3432748.204758997,3.504391364790245,-17.71230080664975,-17.66190082854851
-106,32.89,-19.9259520571286,-33.59363372986991,-31.91868224676879,-1.674951483101115,3416843.021469741,3.488151298618389,-17.7499825197246,-17.859288343181
-106,32.9,-19.3189365333601,-33.51663926980109,-21.99949670412497,-11.51714256567612,3399901.686335584,3.470853484233079,-17.78903992261093,-17.49053362287756
