# Created by Octave 7.3.0, Sun Nov 13 20:20:21 2022 GMT <unknown@LAPTOP-PSMR0IUC>
# name: X
# type: matrix
# rows: 1346
# columns: 2
 33.047970040000003 -105.08081359000001
 33.047973159999998 -105.08074522999999
 33.047976290000001 -105.08067686
 33.047979409999996 -105.0806085
 33.047982529999999 -105.08054014
 33.047985649999994 -105.08047176999999
 33.047988779999997 -105.08040341
 33.0479919 -105.08033504999999
 33.047995030000003 -105.08026669000002
 33.047998149999998 -105.08019832999999
 33.048001280000001 -105.08012997000002
 33.048004409999997 -105.08006162000001
 33.04800753 -105.07999326000001
 33.048010660000003 -105.07992490000001
 33.048013790000006 -105.07985653999999
 33.048016920000009 -105.07978818999997
 33.048020049999998 -105.07971982999999
 33.048023180000001 -105.07965148000001
 33.048026310000004 -105.07958312
 33.048029449999994 -105.07951477
 33.048032580000005 -105.07944642
 33.048035720000009 -105.07937805999998
 33.048038850000005 -105.07930970999999
 33.048041990000002 -105.07924136
 33.048045120000005 -105.07917300999999
 33.048048260000002 -105.07910466000001
 33.048051399999999 -105.07903630999998
 33.048054540000003 -105.07896796
 33.048057679999999 -105.07889960999999
 33.048060820000003 -105.07883125999999
 33.04806396 -105.07876290999998
 33.048067099999997 -105.07869456
 33.048070240000008 -105.07862622
 33.048073380000005 -105.07855786999998
 33.048076530000003 -105.07848951999999
 33.04807967 -105.07842117999999
 33.048082810000004 -105.07835283999998
 33.048085960000002 -105.07828449
 33.048089099999999 -105.07821614999999
 33.048092250000003 -105.07814779999998
 33.048095400000001 -105.07807946
 33.048098540000005 -105.07801111999999
 33.048101690000003 -105.07794278
 33.048104840000008 -105.07787444
 33.048107990000005 -105.07780609999999
 33.04811114000001 -105.07773775999999
 33.048114290000008 -105.07766942000002
 33.048117440000006 -105.07760108000001
 33.048120590000003 -105.07753274
 33.048123740000008 -105.07746440000001
 33.048126900000007 -105.07739606999999
 33.048130050000005 -105.07732772999999
 33.04813321000001 -105.07725939000001
 33.048136360000008 -105.07719106
 33.048139520000007 -105.07712272000001
 33.048142670000004 -105.07705439
 33.04814583000001 -105.07698604999999
 33.048148980000008 -105.07691772
 33.048152140000013 -105.07684938999999
 33.048155300000012 -105.07678104999998
 33.048158460000003 -105.07671271999999
 33.048161620000002 -105.07664439
 33.04816477 -105.07657605999999
 33.048167930000005 -105.07650772999999
 33.048171090000004 -105.0764394
 33.048174250000002 -105.07637106999998
 33.048177410000001 -105.07630273999999
 33.04818057 -105.07623441
 33.048183730000005 -105.07616608000001
 33.048186890000004 -105.07609774999999
 33.048190050000002 -105.07602942000001
 33.048193210000008 -105.07596108999999
 33.048196370000007 -105.07589275999999
 33.048199530000005 -105.07582444000001
 33.048202690000004 -105.07575610999997
 33.048205850000002 -105.07568778
 33.048209010000001 -105.07561946000001
 33.048212170000006 -105.07555112999998
 33.048215330000012 -105.07548279999997
 33.048218490000004 -105.07541448000001
 33.048221649999995 -105.07534615999998
 33.048224810000001 -105.07527782999998
 33.048227969999999 -105.07520950999999
 33.048231130000005 -105.07514118999998
 33.048234290000003 -105.07507285999998
 33.048237449999995 -105.07500453999999
 33.048240610000001 -105.07493622
 33.048243769999999 -105.07486788999999
 33.048246930000005 -105.07479957
 33.048250090000003 -105.07473124999999
 33.048253250000002 -105.07466293
 33.04825641 -105.07459461000001
 33.048259569999999 -105.07452629000001
 33.048262730000005 -105.07445797
 33.048265890000003 -105.07438965
 33.048269049999995 -105.07432132999999
 33.048272210000007 -105.07425301000001
 33.048275370000006 -105.07418469000001
 33.048278530000005 -105.07411637
 33.048281689999996 -105.07404804999999
 33.048284849999995 -105.07397972999999
 33.04828801 -105.07391140999999
 33.048291169999999 -105.07384309
 33.048294330000004 -105.07377477999999
 33.048297489999996 -105.07370646
 33.048300650000002 -105.07363813999999
 33.048303800000006 -105.07356982
 33.048306960000005 -105.07350149999999
 33.048310120000011 -105.07343318999999
 33.048313280000009 -105.07336486999999
 33.048316440000008 -105.07329656
 33.048319600000006 -105.07322824000001
 33.048322760000005 -105.07315992000001
 33.048325920000011 -105.07309160999999
 33.048329080000002 -105.07302329000001
 33.048332240000015 -105.07295498000001
 33.048335400000006 -105.07288665999999
 33.048338560000005 -105.07281834999998
 33.048341720000003 -105.07275002999998
 33.048344880000002 -105.07268171999999
 33.048348050000001 -105.07261340000001
 33.048351210000007 -105.07254508999999
 33.048354370000006 -105.07247676999998
 33.048357530000004 -105.07240845999999
 33.048360690000003 -105.07234013999998
 33.048363850000001 -105.07227182999998
 33.04836701 -105.07220350999999
 33.048370170000005 -105.07213519999999
