lat,lon,gravity_anomaly
65.55,-157.5,10.027447448492
65.55,-157.25,10.208027157955
65.55,-157,10.377413724568
65.55,-156.75,10.536734759888
65.55,-156.5,10.687210466388
65.55,-156.25,10.830137549918
65.55,-156,10.966871779398
65.55,-155.75,11.098809339026
65.55,-155.5,11.227367147016
65.55,-155.25,11.353962342633
65.55,-155,11.479991169632
65.55,-154.75,11.606807508328
65.55,-154.5,11.735701329946
65.55,-154.25,11.867877364998
65.55,-154,12.004434291651
65.55,-153.75,12.146344759986
65.55,-153.5,12.294436573171
65.55,-153.25,12.449375346647
65.55,-153,12.611648961119
65.55,-152.75,12.781554114304
65.55,-152.5,12.959185259943
65.55,-152.25,13.14442620056
65.55,-152,13.336944572926
65.55,-151.75,13.536189432452
65.55,-151.5,13.741392105067
65.55,-151.25,13.951570432972
65.55,-151,14.165536494503
65.55,-150.75,14.381907828865
65.55,-150.5,14.599122144213
65.55,-150.25,14.815455433498
65.55,-150,15.029043367122
65.55,-149.75,15.237905775974
65.55,-149.5,15.439973983423
65.55,-149.25,15.633120691486
65.55,-149,15.815192075408
65.55,-148.75,15.98404169328
65.3,-159,8.288154191270998
65.3,-158.75,8.544582462078999
65.3,-158.5,8.787774552164
65.3,-158.25,9.017735581772
65.3,-158,9.234623663422997
65.3,-157.75,9.438749358947002
65.3,-157.5,9.630573360470997
65.3,-157.25,9.810702284983002
65.3,-157,9.979882498317002
65.3,-156.75,10.138991914313
65.3,-156.5,10.289029748186
65.3,-156.25,10.431104239114
65.3,-156,10.566418395033
65.3,-155.75,10.696253852056
65.3,-155.5,10.821952980822
65.3,-155.25,10.94489941184
65.3,-155,11.066497190579
65.3,-154.75,11.188148809883
65.3,-154.5,11.311232401488
65.3,-154.25,11.437078399154
65.3,-154,11.566946012504
65.3,-153.75,11.701999872395
65.3,-153.5,11.843287224948
65.3,-153.25,11.991716061662
65.3,-153,12.148034576999
65.3,-152.75,12.312812342049
65.3,-152.5,12.486423573177
65.3,-152.25,12.669032857935
65.3,-152,12.860583676808
65.3,-151.75,13.060790028982
65.3,-151.5,13.269131433337
65.3,-151.25,13.484851532794
65.3,-151,13.706960481514
65.3,-150.75,13.934241240827
65.3,-150.5,14.165259851948
65.3,-150.25,14.398379692342
65.3,-150,14.631779658925
65.3,-149.75,14.863476156087
65.3,-149.5,15.091348700919
65.3,-149.25,15.313168892919
65.3,-149,15.526632432138
65.3,-148.75,15.729393809066
65.05,-159,8.043743618484001
65.05,-158.75,8.298796649034999
65.05,-158.5,8.542639910457002
65.05,-158.25,8.774963777048999
65.05,-158,8.995608984512
65.05,-157.75,9.204572587536999
65.05,-157.5,9.402011991236
65.05,-157.25,9.588246837396001
65.05,-157,9.763758557232
65.05,-156.75,9.929187438440001
65.05,-156.5,10.08532709536
65.05,-156.25,10.233116276226
65.05,-156,10.37362799001
65.05,-155.75,10.508055986319
65.05,-155.5,10.63769867434
65.05,-155.25,10.763940619816
65.05,-155,10.888231811576
65.05,-154.75,11.012064940079
65.05,-154.5,11.136950978885
65.05,-154.25,11.264393404756
65.05,-154,11.395861432471
65.05,-153.75,11.532762675329
65.05,-153.5,11.676415671074
65.05,-153.25,11.828022734753
65.05,-153,11.988643614371
65.05,-152.75,12.15917043148
65.05,-152.5,12.340304386849
65.05,-152.25,12.532534700815
65.05,-152,12.736120238767
65.05,-151.75,12.951074244562
65.05,-151.5,13.177152568781
65.05,-151.25,13.4138457349
65.05,-151,13.660375135344
65.05,-150.75,13.915693591511
65.05,-150.5,14.17849044815
65.05,-150.25,14.447201303711
65.05,-150,14.720022405632
65.05,-149.75,14.994929663881
65.05,-149.5,15.269702158837
65.05,-149.25,15.541949941797
65.05,-149,15.809145849423
65.05,-148.75,16.06866097852399
64.8,-159,7.968186466662999
64.8,-158.75,8.228808639996998
64.8,-158.5,8.480039803642002
64.8,-158.25,8.721257453254998
64.8,-158,8.951988451367001
64.8,-157.75,9.171921998653998
64.8,-157.5,9.380920499914
64.8,-157.25,9.579027986729999
64.8,-157,9.766475794561
64.8,-156.75,9.943685235150001
64.8,-156.5,10.111267054749
64.8,-156.25,10.270017524079
64.8,-156,10.420911066026
64.8,-155.75,10.565089390858
64.8,-155.5,10.703847175067
64.8,-155.25,10.838614387483
64.8,-155,10.970935434005
64.8,-154.75,11.102445358673
64.8,-154.5,11.23484340277
64.8,-154.25,11.369864283864
64.8,-154,11.509247612048
64.8,-153.75,11.654705909928
64.8,-153.5,11.807891745272
64.8,-153.25,11.970364519537
64.8,-153,12.143557481183
64.8,-152.75,12.328745548957
64.8,-152.5,12.527014536749
64.8,-152.25,12.739232367879
64.8,-152,12.966022852583
64.8,-151.75,13.20774257799
64.8,-151.5,13.464461425362
64.8,-151.25,13.735947184941
64.8,-151,14.021654685158
64.8,-150.75,14.320719790753
64.8,-150.5,14.631958554447
64.8,-150.25,14.95387173016
64.8,-150,15.284654773519
64.8,-149.75,15.62221336875
64.8,-149.5,15.964184431318
64.8,-149.25,16.307962444299
64.8,-149,16.650730894856
64.8,-148.75,16.989498486787
64.55,-159,8.087420415567001
64.55,-158.75,8.360145673160002
64.55,-158.5,8.624942739986
64.55,-158.25,8.880876942800001
64.55,-158,9.127164751799999
64.55,-157.75,9.363194227503003
64.55,-157.5,9.588543145034999
64.55,-157.25,9.802994329929003
64.55,-157,10.006547781188
64.55,-156.75,10.19942920825
64.55,-156.5,10.382094667725
64.55,-156.25,10.555231052341
64.55,-156,10.719752257305
64.55,-155.75,10.876790926941
64.55,-155.5,11.027685765691
