lat,lon,height_anomaly
65.55,-153.5,10.218226582159
65.55,-153.25,10.282488472364
65.55,-153,10.360671069786
65.55,-152.75,10.457100144358
65.55,-152.5,10.574035559964
65.55,-152.25,10.710050084512
65.55,-152,10.858673688219
65.55,-151.75,11.008153693151
65.55,-151.5,11.142893291478
65.55,-151.25,11.246541983376
65.55,-151,11.306043428166
65.55,-150.75,11.315465442495
65.55,-150.5,11.278349145795
65.55,-150.25,11.207681999613
65.55,-150,11.123313715391
65.55,-149.75,11.047451525732
65.55,-149.5,10.999503454972
65.55,-149.25,10.991757547324
65.55,-149,11.027109929712
65.55,-148.75,11.099380226085
65.3,-159,9.113017992870999
65.3,-158.75,9.151263360990997
65.3,-158.5,9.150200563738
65.3,-158.25,9.117324198294998
65.3,-158,9.06759392887
65.3,-157.75,9.020958525252999
65.3,-157.5,8.998108083237998
65.3,-157.25,9.015587347293001
65.3,-157,9.081741390477999
65.3,-156.75,9.194787521349999
65.3,-156.5,9.343651205193
65.3,-156.25,9.511294976058
65.3,-156,9.679439108784003
65.3,-155.75,9.833130513935002
65.3,-155.5,9.963728330164001
65.3,-155.25,10.069498296303
65.3,-155,10.15390618106
65.3,-154.75,10.222532519488
65.3,-154.5,10.27998296688
65.3,-154.25,10.328074645057
65.3,-154,10.36598382507
65.3,-153.75,10.392182117886
65.3,-153.5,10.407206048867
65.3,-153.25,10.415908159871
65.3,-153,10.427988159745
65.3,-152.75,10.456251392538
65.3,-152.5,10.512947677521
65.3,-152.25,10.605362797396
65.3,-152,10.732250379659
65.3,-151.75,10.882531670586
65.3,-151.5,11.036993052185
65.3,-151.25,11.172712383872
65.3,-151,11.268995053657
65.3,-150.75,11.313036555726
65.3,-150.5,11.303555042293
65.3,-150.25,11.251253344511
65.3,-150,11.175968897946
65.3,-149.75,11.10141314573
65.3,-149.5,11.049137328583
65.3,-149.25,11.033546137488
65.3,-149,11.059363461433
65.3,-148.75,11.12209132336
65.05,-159,9.628666092283
65.05,-158.75,9.591943247358
65.05,-158.5,9.504371943695997
65.05,-158.25,9.392893974628002
65.05,-158,9.290223905921998
65.05,-157.75,9.227310766171996
65.05,-157.5,9.225890163876999
65.05,-157.25,9.293277405018998
65.05,-157,9.420994827398001
65.05,-156.75,9.587710699647001
65.05,-156.5,9.765637770468002
65.05,-156.25,9.92844004278
65.05,-156,10.058211557345
65.05,-155.75,10.149405102115
65.05,-155.5,10.208610960349
65.05,-155.25,10.25047453654
65.05,-155,10.291321450404
65.05,-154.75,10.342787708122
65.05,-154.5,10.407680508713
65.05,-154.25,10.479452987314
65.05,-154,10.545364777011
65.05,-153.75,10.592083248557
65.05,-153.5,10.61161891284
65.05,-153.25,10.605379402363
65.05,-153,10.584799870962
65.05,-152.75,10.56822080589
65.05,-152.5,10.57501054732
